domain	end	gene	start
PF00132	123	Rv3525c	88
PF00355	114	kshA	25
PF13469	341	Rv3529c	93
PF13561	258	Rv3530c	14
PF00823	164	PPE61	7
PF12484	402	PPE61	325
PF00823	162	PPE62	5
PF01469	490	PPE62	451
PF01469_1	459	PPE62	421
PF01469_2	469	PPE62	431
PF01469_3	450	PPE62	411
PF01469_4	372	PPE62	333
PF01469_5	430	PPE62	391
PF00682	265	hsaF	6
PF07836	336	hsaF	274
PF01118	119	hsaG	6
PF09290	272	hsaG	127
PF01557	260	hsaE	68
PF00890	542	kstD	7
PF01575	278	hsd4B	160
PF00823	163	PPE63	6
PF08237	462	PPE63	240
PF01796	297	Rv3542c	234
PF13452	160	Rv3542c	18
PF00441	380	fadE29	228
PF02770	216	fadE29	122
PF02771	118	fadE29	6
PF00441	337	fadE28	190
PF02771	100	fadE28	4
PF00067	397	cyp125	300
PF00108	261	fadA5	4
PF02803	390	fadA5	268
PF04075	151	ddn	20
PF00106	219	Rv3548c	7
PF13561	247	Rv3549c	22
PF00378	243	echA20	7
PF01144	233	Rv3551	5
PF03060	342	Rv3553	4
PF00111	675	fdxB	600
PF00175	563	fdxB	454
PF00487	302	fdxB	66
PF00970	440	fdxB	342
PF18741	282	Rv3555c	190
PF00108	256	fadA6	4
PF02803	385	fadA6	263
PF00440	61	Rv3557c	15
PF17932	195	Rv3557c	80
PF00823	163	PPE64	6
PF01469	443	PPE64	404
PF01469_1	365	PPE64	326
PF01469_2	463	PPE64	424
PF13561	259	Rv3559c	25
PF00441	377	fadE30	231
PF02770	219	fadE30	125
PF02771	120	fadE30	1
PF00501	414	fadD3	12
PF13193	497	fadD3	422
PF00441	370	fadE31	230
PF02770	218	fadE31	124
PF02771	120	fadE31	6
PF00441	319	fadE32	180
PF02771	115	fadE32	8
PF00441	311	fadE33	181
PF02771	114	fadE33	4
PF00155	381	aspB	31
PF00797	260	nat	21
PF01613	161	hsaB	14
PF00903	267	hsaC	142
PF00561	276	hsaD	37
PF08028	373	hsaA	239
PF00111	348	kshB	273
PF00175	230	kshB	132
PF00970	122	kshB	16
PF00441	347	fadE34	208
PF00441_1	707	fadE34	568
PF02770	556	fadE34	462
PF02771	458	fadE34	359
PF02771_1	113	fadE34	6
PF00440	88	kstR	42
PF17925	213	kstR	107
PF00356	54	Rv3575c	10
PF13377	355	Rv3575c	180
PF14032	233	lppH	43
PF02040	406	arsB2	3
PF00588	301	Rv3579c	160
PF08032	145	Rv3579c	69
PF01406	315	cysS1	19
PF09190	404	cysS1	342
PF02542	156	ispF	5
PF01128	231	ispD	8
PF02559	111	Rv3583c	3
PF13481	222	radA	57
PF13541	429	radA	320
PF18073	35	radA	8
PF02457	138	Rv3586	23
PF10635	285	Rv3586	141
PF00484	194	canB	46
PF00633	139	mutY	110
PF00730	176	mutY	46
PF00934	94	PE_PGRS58	4
PF12697	247	Rv3591c	19
PF03992	82	mhuD	2
PF13354	422	lpqF	178
PF18042	138	lpqF	49
PF01510	173	Rv3594	35
PF00934	94	PE_PGRS59	4
PF00004	347	clpC1	212
PF02861	68	clpC1	16
PF02861_1	143	clpC1	91
PF07724	716	clpC1	544
PF10431	802	clpC1	722
PF17871	454	clpC1	351
PF11774	111	lsr2	1
PF00152	501	lysS	156
PF01336	141	lysS	62
PF03309	208	Rv3600c	2
PF02261	115	panD	1
PF02569	284	panC	12
PF10727	128	Rv3603c	1
PF10728	287	Rv3603c	145
PF11377	147	Rv3605c	9
PF01288	139	folK	5
PF02152	116	folB	5
PF00809	255	folP1	9
PF01227	200	folE	21
PF00004	332	ftsH	199
PF01434	601	ftsH	412
PF17862	398	ftsH	354
PF10824	100	espC	1
PF18879	104	espA	21
PF00561	155	ephA	27
PF00296	319	Rv3618	5
PF06013	87	esxV	2
PF06013	90	esxW	4
PF00823	163	PPE65	6
PF12484	409	PPE65	328
PF00934	94	PE32	4
PF04402	237	lpqG	38
PF00156	184	hpt	25
PF01171	194	mesJ	27
PF09179	317	mesJ	246
PF10103	346	Rv3626c	13
PF02113	454	Rv3627c	236
PF02113_1	241	Rv3627c	72
PF00719	158	ppa	5
PF04332	356	Rv3629c	45
PF00535	182	Rv3631	15
PF10066	108	Rv3632	3
PF05721	213	Rv3633	14
PF16363	304	galE1	4
PF01695	237	Rv3638	18
PF00872	380	Rv3640c	1
PF02661	162	fic	62
PF18495	60	Rv3642c	14
PF09115	385	Rv3644c	311
PF13177	183	Rv3644c	30
PF00211	532	Rv3645	356
PF00672	327	Rv3645	275
PF01131	605	topA	155
PF01751	141	topA	19
PF13368	915	topA	860
PF13368_1	848	topA	793
PF13368_2	791	topA	714
PF13368_3	711	topA	648
PF00313	67	cspA	2
PF00270	237	Rv3649	60
PF00271	402	Rv3649	287
PF09369	738	Rv3649	660
PF00934	86	PE33	4
PF18007	96	Rv3651	4
PF18621	208	Rv3651	99
PF00934	67	PE_PGRS60	4
PF14029	65	Rv3656c	12
PF00482	175	Rv3657c	45
PF00482	222	Rv3658c	96
PF00437	304	trbB	20
PF12710	213	Rv3661	28
PF08352	281	dppD	233
PF08352_1	545	dppD	511
PF00005	460	dppD	307
PF00005_1	182	dppD	25
PF00528	263	dppC	78
PF00528	307	dppB	113
PF00496	464	dppA	75
PF00501	531	acs	80
PF13193	617	acs	539
PF16177	79	acs	25
PF07332	146	Rv3669	32
PF12697	315	ephE	57
PF02674	150	Rv3671c	7
PF13365	357	Rv3671c	220
PF00293	222	Rv3672c	74
PF08534	218	Rv3673c	86
PF00633	138	nth	110
PF00730	180	nth	45
PF10576	214	nth	198
PF00027	116	crp	28
PF13545	222	crp	148
PF00753	193	Rv3677c	34
PF17778	264	Rv3677c	230
PF01042	150	Rv3678c	15
PF13783	52	Rv3678A	7
PF02374	188	Rv3679	21
PF02374	292	Rv3680	19
PF02467	93	whiB4	31
PF00905	640	ponA2	360
PF00912	257	ponA2	69
PF03793	762	ponA2	701
PF00149	235	Rv3683	51
PF00291	307	Rv3684	10
PF00067	472	cyp137	60
PF01740	111	rsfB	8
PF09424	154	Rv3688c	5
PF13559	191	Rv3690	121
PF14258	120	Rv3691	53
PF07726	212	moxR2	82
PF17863	350	moxR2	277
PF01882	281	Rv3693	187
PF01944	281	Rv3694c	107
PF06271	178	Rv3695	16
PF00370	268	glpK	16
PF02782	468	glpK	277
PF01850	137	vapC48	4
PF13649	144	Rv3699	46
PF00266	375	Rv3700c	28
PF10017	321	Rv3701c	18
PF13522	197	Rv3702c	66
PF03781	423	Rv3703c	163
PF12867	137	Rv3703c	10
PF04107	355	gshA	46
PF14032	212	Rv3705c	28
PF13810	326	Rv3707c	8
PF01118	119	asd	4
PF02774	328	asd	139
PF00696	231	ask	2
PF01842	331	ask	266
PF13840	403	ask	339
PF00682	352	leuA	71
PF08502	643	leuA	474
PF00929	171	dnaQ	17
PF08245	265	Rv3712	56
PF08353	402	Rv3712	303
PF07685	198	cobQ2	3
PF01751	175	recR	80
PF02132	77	recR	38
PF02575	101	Rv3716c	11
PF01520	232	Rv3717	29
PF10604	144	Rv3718c	3
PF01565	154	Rv3719	43
PF02353	406	Rv3720	137
PF12169	376	dnaZX	232
PF13177	178	dnaZX	17
PF12897	426	Rv3722c	6
PF01083	75	cut5a	37
PF01083	187	cut5b	7
PF01370	236	Rv3725	8
PF00107	346	Rv3726	175
PF08240	135	Rv3726	23
PF01593	374	Rv3727	17
PF00027	632	Rv3728	546
PF01734	965	Rv3728	806
PF07690	349	Rv3728	46
PF07690_1	539	Rv3728	296
PF04055	260	Rv3729	94
PF13353	223	Rv3729	93
PF13649	660	Rv3729	565
PF01068	201	ligC	11
PF04679	332	ligC	219
PF10092	249	Rv3732	29
PF00293	148	Rv3733c	1
PF03007	262	tgs2	4
PF06974	449	tgs2	302
PF04008	161	Rv3735	8
PF12625	204	Rv3736	20
PF12833	328	Rv3736	250
PF06738	289	Rv3737	49
PF12821	448	Rv3737	319
PF00823	70	PPE66	1
PF18878	305	PPE66	258
PF00823	77	PPE67	8
PF03007	257	Rv3740c	1
PF06974	443	Rv3740c	296
PF00122	318	ctpJ	137
PF00702	556	ctpJ	334
PF01022	77	nmtR	32
PF09996	68	Rv3745c	4
PF00934	93	PE34	4
PF00589	54	Rv3751	1
PF00383	103	Rv3752c	1
PF02153	270	tyrA	22
PF06475	198	Rv3755c	16
PF00528	210	proZ	45
PF00528	210	proW	19
PF00005	164	proV	18
PF04069	306	proX	41
PF06305	115	Rv3760	60
PF01636	285	fadE36	31
PF00753	324	Rv3762c	97
PF14863	499	Rv3762c	361
PF14864	626	Rv3762c	506
PF05481	158	lpqH	41
PF00512	312	tcrY	247
PF00672	235	tcrY	173
PF02518	466	tcrY	355
PF00072	121	tcrX	11
PF00486	230	tcrX	156
PF04072	205	Rv3767c	19
PF12680	109	Rv3768	13
PF00155	344	hisC2	22
PF00378	274	echA21	11
PF00144	404	lipE	40
PF02720	355	Rv3776	26
PF00107	280	Rv3777	151
PF08240	90	Rv3777	27
PF00266	390	Rv3778c	20
PF10759	173	Rv3780	24
PF00005	186	rfbE	53
PF13641	251	glfT1	3
PF01061	242	rfbD	32
PF16363	303	epiB	4
PF01551	369	Rv3786c	274
PF13704	108	Rv3786c	10
PF04072	204	Rv3787c	19
PF01272	159	Rv3788	85
PF04138	118	Rv3789	2
PF01565	162	dprE1	24
PF04030	458	dprE1	388
PF00106	206	dprE2	10
PF12249	637	aftA	465
PF12250	458	aftA	31
PF04602	682	embC	225
PF14896	1092	embC	720
PF17689	221	embC	53
PF04602	667	embA	198
PF14896	1091	embA	702
PF17689	194	embA	37
PF04602	689	embB	213
PF14896	1095	embB	719
PF17689	209	embB	50
PF00753	158	atsH	49
PF12706	342	atsH	202
PF00441	462	fadE35	309
PF02770	291	fadE35	191
PF18158	188	fadE35	27
PF01610	422	Rv3798	163
PF13542	147	Rv3798	97
PF14690	92	Rv3798	46
PF01039	520	accD4	36
PF00109	366	pks13	116
PF00550	91	pks13	25
PF00550_1	1304	pks13	1236
PF00698	1038	pks13	713
PF00975	1668	pks13	1469
PF02801	492	pks13	374
PF16197	571	pks13	494
PF00501	498	fadD32	33
PF01083	281	clp6	71
PF00756	294	fbpD	43
PF00756	321	fbpA	58
PF01040	279	ubiA	30
PF01569	159	Rv3807c	48
PF13641	421	glfT2	159
PF17994	153	glfT2	9
PF03275	366	glf	156
PF13450	81	glf	12
PF01744	120	pirG	93
PF01510	374	csp	217
PF08310	471	csp	420
PF00934	94	PE_PGRS62	4
PF08282	268	Rv3813c	9
PF01553	150	Rv3814c	23
PF01553	150	Rv3815c	23
PF01553	151	Rv3816c	22
PF01636	239	Rv3817	33
PF00355	513	Rv3818	464
PF13483	148	Rv3818	2
PF00668	373	papA2	62
PF11139	235	Rv3821	5
PF08237	325	Rv3822	104
PF03176	1049	mmpL8	676
PF03176_1	402	mmpL8	74
PF00668	426	papA1	44
PF00109	274	pks2	24
PF00550	2109	pks2	2044
PF00698	870	pks2	553
PF02801	396	pks2	282
PF08240	1531	pks2	1453
PF08659	1950	pks2	1772
PF13602	1748	pks2	1609
PF14765	1198	pks2	914
PF16197	520	pks2	401
PF00501	468	fadD23	10
PF01385	323	Rv3827c	201
PF12323	56	Rv3827c	13
PF00239	200	Rv3828c	62
PF13450	69	Rv3829c	8
PF00440	62	Rv3830c	17
PF11196	147	Rv3831	41
PF08241	134	Rv3832c	39
PF07883	80	Rv3833	12
PF12833	247	Rv3833	169
PF00587	393	serS	213
PF02403	106	serS	1
PF13845	322	Rv3835	97
PF06262	115	Rv3836	29
PF00300	204	Rv3837c	5
PF00800	192	pheA	4
PF01842	268	pheA	202
PF03816	125	Rv3840	18
PF00210	149	bfrB	12
PF03009	259	glpQ1	17
PF14219	306	Rv3843c	152
PF01548	162	Rv3844	14
PF00081	84	sodA	3
PF02777	193	sodA	91
PF01169	180	Rv3848	106
PF01169_1	80	Rv3848	6
PF03737	156	rraA	8
PF00743	361	ethA	74
PF13450	70	ethA	9
PF00440	75	ethR	29
PF02811	286	Rv3856c	99
PF14716	70	Rv3856c	2
PF07992	459	gltD	145
PF14691	133	gltD	24
PF00310	439	gltB	18
PF01493	1460	gltB	1270
PF01645	1190	gltB	819
PF04898	757	gltB	465
PF01656	348	Rv3860	136
PF02467	89	whiB6	31
PF18879	105	espE	22
PF10824	100	espF	1
PF14011	259	espG1	22
PF00004	465	eccA1	330
PF17866	558	eccA1	496
PF05108	465	eccB1	3
PF01580	638	eccCa1	428
PF01580	291	eccCb1	43
PF01580_1	476	eccCb1	344
PF00934	93	PE35	4
PF00823	162	PPE68	5
PF06013	88	esxB	3
PF06013	88	esxA	3
PF01656	635	espI	419
PF08817	107	eccD1	22
PF02575	113	espL	14
PF18625	88	espB	12
PF11203	267	eccE1	177
PF00082	379	mycP1	81
PF00004	505	eccA2	369
PF17866	600	eccA2	528
PF11203	263	eccE2	172
PF00082	482	mycP2	213
PF08817	93	eccD2	12
PF14011	258	espG2	5
PF06013	89	esxC	4
PF06013	91	esxD	4
PF00823	167	PPE69	8
PF00934	77	PE36	3
PF01580	1119	eccC2	834
PF01580_1	714	eccC2	485
PF05108	480	eccB2	3
PF18645	399	Rv3899c	304
PF18646	277	Rv3899c	194
PF15598	167	Rv3902c	14
PF14021	846	Rv3903c	750
PF06013	81	esxE	1
PF06013	91	esxF	6
PF01743	166	pcnA	39
PF01966	416	pcnA	268
PF12627	254	pcnA	193
PF00293	197	mutT4	69
PF03023	522	Rv3910	48
PF04542	107	sigM	39
PF08281	181	sigM	128
PF07992	304	trxB2	15
PF00085	110	trxC	8
PF01471	160	cwlM	104
PF01471_1	83	cwlM	17
PF01520	371	cwlM	193
PF02195	155	parB	61
PF17762	256	parB	205
PF13614	263	parA	84
PF02527	198	gid	15
PF01424	186	Rv3920c	126
PF02096	274	Rv3921c	40
PF01809	86	Rv3922c	20
PF00825	109	rnpA	2
PF00468	47	rpmH	4
PF05050	216	Rv2956	45
PF00535	185	Rv2957	7
PF00201	409	Rv2958c	263
PF04989	245	Rv2959c	48
PF01609	121	Rv2961	1
PF00201	426	Rv2962c	259
PF03773	330	Rv2963	17
PF00551	292	purU	116
PF01842	96	purU	31
PF01467	133	kdtB	5
PF03602	182	Rv2966c	2
PF00289	111	pca	1
PF00364	1126	pca	1059
PF00682	798	pca	523
PF02436	1011	pca	820
PF02785	446	pca	339
PF02786	324	pca	116
PF07884	157	Rv2968c	24
PF13462	238	Rv2969c	68
PF07859	350	lipN	137
PF00248	268	Rv2971	20
PF07510	229	Rv2972c	89
PF00270	466	recG	289
PF00271	629	recG	500
PF02734	132	Rv2974c	1
PF13684	470	Rv2974c	161
PF03167	215	ung	53
PF00586	154	thiL	43
PF02769	284	thiL	166
PF01385	322	Rv2978c	200
PF07282	408	Rv2978c	341
PF12323	56	Rv2978c	12
PF00239	191	Rv2979c	52
PF12028	175	Rv2980	15
PF01820	141	ddlA	12
PF07478	363	ddlA	158
PF01210	165	gpdA2	7
PF07479	324	gpdA2	184
PF01983	176	Rv2983	10
PF02503	376	ppk1	167
PF13089	159	ppk1	53
PF13090	732	ppk1	559
PF17941	553	ppk1	386
PF00293	146	mutT1	17
PF00300	249	mutT1	156
PF00216	90	hupB	1
PF00694	118	leuD	1
PF00330	464	leuC	13
PF01614	232	Rv2989	119
PF09339	57	Rv2989	9
PF01243	100	Rv2991	11
PF00749	326	gltS	6
PF01557	234	Rv2993c	36
PF10370	31	Rv2993c	1
PF07690	356	Rv2994	18
PF00180	335	leuB	2
PF00389	313	serA1	6
PF01842	518	serA1	454
PF02826	281	serA1	107
PF13450	67	Rv2997	5
PF07485	315	lppY	195
PF07485_1	174	lppY	52
PF03649	203	Rv3000	107
PF00005	153	Rv3000	21
PF01450	328	ilvC	185
PF07991	179	ilvC	15
PF01842	72	ilvN	6
PF10369	160	ilvN	87
PF00205	363	ilvB1	228
PF02775	579	ilvB1	426
PF02776	206	ilvB1	38
PF10756	110	cfp6	39
PF07681	200	Rv3005c	114
PF07995	266	lppZ	76
PF01613	165	Rv3007c	22
PF02637	506	gatB	359
PF02934	321	gatB	27
PF00365	299	pfkA	2
PF01425	477	gatA	25
PF02686	91	gatC	20
PF00533	683	ligA	607
PF01653	328	ligA	11
PF03119	444	ligA	417
PF03120	409	ligA	331
PF12826	590	ligA	527
PF01717	329	Rv3015c	4
PF14032	206	lpqA	41
PF00823	165	PPE46	8
PF18878	418	PPE46	372
PF06013	88	esxR	3
PF06013	88	esxS	4
PF00934	93	PE29	3
PF00872	380	Rv3023c	1
PF03054	353	trmU	1
PF00266	370	iscS	2
PF01553	224	Rv3026c	81
PF13444	145	Rv3027c	43
PF00766	276	fixB	193
PF01012	177	fixB	4
PF01012	215	fixA	24
PF08241	157	Rv3030	66
PF03065	392	Rv3031	13
PF09210	524	Rv3031	423
PF00534	372	Rv3032	206
PF13439	204	Rv3032	15
PF14230	97	Rv3033	20
PF14230_1	168	Rv3033	100
PF00132	253	Rv3034c	218
PF13360	410	Rv3035	230
PF13360_1	293	Rv3035	79
PF18096	356	Rv3037c	280
PF08241	179	Rv3038c	82
PF00378	246	echA17	13
PF00005	189	Rv3041c	37
PF00702	353	serB2	179
PF00115	483	ctaD	39
PF01497	334	fecB	92
PF00107	308	adhC	185
PF08240	144	adhC	28
PF11829	106	Rv3046c	9
PF00268	285	nrdF2	13
PF00743	250	Rv3049c	22
PF00440	80	Rv3050c	35
PF00317	183	nrdE	109
PF02867	705	nrdE	187
PF08343	108	nrdE	27
PF07972	131	nrdI	9
PF00462	61	nrdH	3
PF03358	157	Rv3054c	8
PF00440	76	Rv3055	32
PF00817	160	dinP	12
PF11799	344	dinP	243
PF00106	207	Rv3057c	13
PF00440	82	Rv3058c	26
PF00067	481	cyp136	56
PF00392	77	Rv3060c	13
PF00392_1	330	Rv3060c	267
PF07729	227	Rv3060c	103
PF07729_1	484	Rv3060c	357
PF00441	343	fadE22	200
PF00441_1	712	fadE22	567
PF02770	555	fadE22	461
PF02771	117	fadE22	6
PF02771_1	457	fadE22	356
PF01068	380	ligB	186
PF04675	140	ligB	62
PF04679	492	ligB	399
PF02554	445	cstA	67
PF13722	633	cstA	502
PF07681	94	Rv3064c	16
PF00893	94	mmr	1
PF00440	65	Rv3066	19
PF05305	172	Rv3067	102
PF00408	543	pgmA	454
PF02878	185	pgmA	39
PF02879	319	pgmA	207
PF02880	443	pgmA	323
PF02537	123	Rv3069	10
PF02537	121	Rv3070	13
PF02641	345	Rv3071	247
PF02641_1	221	Rv3071	126
PF02641_2	105	Rv3071	6
PF00296	141	Rv3072c	5
PF04343	115	Rv3073c	8
PF02720	323	Rv3074	20
PF03328	228	Rv3075c	27
PF10604	154	Rv3076	8
PF00884	389	atsF	5
PF00296	228	Rv3079c	16
PF13191	491	pknK	345
PF00069	280	pknK	26
PF09970	338	Rv3081	250
PF12625	208	virS	23
PF12833	334	virS	256
PF00743	353	Rv3083	5
PF07859	273	lipR	72
PF00106	202	Rv3085	7
PF00107	331	adhD	195
PF08240	153	adhD	27
PF03007	268	Rv3087	4
PF06974	458	Rv3087	308
PF03007	273	tgs4	4
PF06974	458	tgs4	312
PF00501	405	fadD13	8
PF13193	487	fadD13	413
PF01145	247	Rv3090	55
PF01734	420	Rv3091	181
PF05661	292	Rv3092c	3
PF00296	298	Rv3093c	10
PF02771	102	Rv3094c	5
PF08028	356	Rv3094c	223
PF01638	110	Rv3095	21
PF00934	95	lipY	5
PF07859	417	lipY	235
PF02452	104	Rv3098A	3
PF07398	274	Rv3099c	178
PF11716	160	Rv3099c	20
PF01668	154	smpB	12
PF02687	294	ftsX	200
PF18075	152	ftsX	56
PF00005	168	ftsE	20
PF00924	294	Rv3104c	87
PF00472	338	prfB	228
PF03462	221	prfB	28
PF07992	225	fprA	4
PF01565	232	agpS	94
PF02913	524	agpS	269
PF04055	197	moaA1	31
PF06463	329	moaA1	202
PF13353	157	moaA1	26
PF01329	120	moaB1	30
PF01967	153	moaC1	19
PF02597	83	moaD1	6
PF13419	186	Rv3113	9
PF00383	114	Rv3114	18
PF00872	380	Rv3115	1
PF00581	381	moeB2	287
PF00899	263	moeB2	22
PF00581	268	cysA3	147
PF00581_1	119	cysA3	9
PF07210	99	sseC1	2
PF02391	127	moaE1	15
PF13649	140	Rv3120	51
PF00067	386	cyp141	164
PF00486	115	moaR1	37
PF03704	268	moaR1	123
PF00823	165	PPE49	7
PF12484	388	PPE49	293
PF12900	87	Rv3129	1
PF03007	256	tgs1	4
PF06974	444	tgs1	297
PF01590	200	devS	63
PF01590_1	369	devS	231
PF02518	578	devS	489
PF07730	452	devS	386
PF00072	116	devR	4
PF00582	137	Rv3134c	6
PF00823	131	PPE50	5
PF00823	162	PPE51	5
PF12484	376	PPE51	299
PF00459	259	Rv3137	4
PF04055	239	pflA	83
PF00441	466	fadE24	334
PF02770	317	fadE24	228
PF02771	223	fadE24	110
PF00441	393	fadE23	241
PF02770	225	fadE23	130
PF00107	285	fadB4	149
PF08240	96	fadB4	25
PF00823	162	PPE52	5
PF00507	127	nuoA	18
PF01058	146	nuoB	36
PF00329	218	nuoC	94
PF00346	440	nuoD	154
PF01257	188	nuoE	44
PF01512	230	nuoF	54
PF10531	302	nuoF	252
PF10589	423	nuoF	339
PF00111	87	nuoG	19
PF00384	442	nuoG	291
PF01568	799	nuoG	721
PF10588	139	nuoG	100
PF00146	335	nuoH	14
PF00037	142	nuoI	119
PF00037_1	97	nuoI	77
PF00499	176	nuoJ	31
PF00420	98	nuoK	5
PF00361	429	nuoL	140
PF00662	128	nuoL	71
PF00361	460	nuoM	160
PF00361	468	nuoN	169
PF00823	162	PPE53	5
PF01469	485	PPE53	447
PF01469_1	229	PPE53	190
PF01469_2	416	PPE53	377
PF01469_3	289	PPE53	250
PF01469_4	299	PPE53	260
PF01469_5	249	PPE53	210
PF01469_6	376	PPE53	337
PF00440	61	Rv3160c	15
PF00355	151	Rv3161c	52
PF00848	375	Rv3161c	186
PF01882	271	Rv3163c	188
PF07726	172	moxR3	42
PF17863	308	moxR3	235
PF13559	307	Rv3166c	237
PF00440	72	Rv3167c	26
PF16859	194	Rv3167c	82
PF01636	315	Rv3168	64
PF01593	451	aofH	23
PF12146	273	hpx	18
PF00440	68	Rv3173c	22
PF00106	188	Rv3174	7
PF01425	477	Rv3175	32
PF12697	310	mesT	52
PF00561	273	Rv3177	39
PF04075	118	Rv3178	2
PF13173	146	Rv3179	25
PF13635	371	Rv3179	210
PF01850	131	Rv3180c	4
PF02604	136	Rv3181c	65
PF05973	104	Rv3182	11
PF01381	97	Rv3183	41
PF01527	90	Rv3184	4
PF00665	206	Rv3185	102
PF13276	79	Rv3185	20
PF01527	90	Rv3186	4
PF00665	206	Rv3187	102
PF13276	79	Rv3187	20
PF13936	48	Rv3191c	5
PF00296	149	Rv3192	17
PF03699	823	Rv3193c	19
PF05362	330	Rv3194c	232
PF13180	198	Rv3194c	114
PF10103	433	Rv3195	85
PF01636	350	Rv3197	15
PF03109	233	Rv3197	117
PF02178	92	whiB7	80
PF02467	80	whiB7	18
PF00570	696	uvrD2	629
PF00580	287	uvrD2	12
PF13361	562	uvrD2	439
PF13361_1	444	uvrD2	292
PF00462	66	Rv3198A	6
PF00293	290	nudC	169
PF09296	134	nudC	41
PF09297	167	nudC	136
PF02254	267	Rv3200c	149
PF07885	130	Rv3200c	45
PF00580	337	Rv3201c	24
PF12705	1081	Rv3201c	902
PF13361	772	Rv3201c	604
PF13361_1	513	Rv3201c	349
PF00580	305	Rv3202c	5
PF12705	1047	Rv3202c	805
PF13361	696	Rv3202c	315
PF12697	253	lipV	18
PF01035	82	Rv3204	8
PF00581	384	moeB1	290
PF00899	265	moeB1	23
PF11350	283	Rv3207c	73
PF00440	90	Rv3208	44
PF11305	73	TB9.4	1
PF05423	185	Rv3209	78
PF13794	203	Rv3210c	20
PF00270	220	rhlE	34
PF00271	365	rhlE	256
PF01656	230	Rv3213c	7
PF00300	194	gpm2	8
PF00425	360	entC	95
PF00781	123	Rv3218	2
PF02467	71	whiB1	3
PF02518	495	Rv3220c	394
PF07568	373	Rv3220c	300
PF12282	150	Rv3220c	4
PF00364	70	TB7.3	3
PF13490	57	rshA	23
PF04542	100	sigH	35
PF08281	191	sigH	138
PF00106	207	Rv3224	6
PF04073	49	Rv3224B	2
PF00583	152	Rv3225c	34
PF01636	434	Rv3225c	206
PF02586	231	Rv3226c	1
PF00275	419	aroA	7
PF03193	268	Rv3228	95
PF00487	341	desA3	66
PF00111	373	Rv3230c	302
PF00175	271	Rv3230c	173
PF00970	163	Rv3230c	72
PF03976	260	ppk2	32
PF06974	192	Rv3233c	47
PF03007	271	tgs3	5
PF00999	373	kefB	11
PF02080	157	Rv3237c	88
PF07298	236	Rv3238c	51
PF00027	615	Rv3239c	533
